identifier,electrolyte_type,component_names,svg_tags
pajkossy_1996_impedance_209_f3a_b,aqueous,KClO4; water; NaBr,"BCV, SHA"
pajkossy_1996_impedance_209_f3a_dashed,aqueous,KClO4; water,BCV
pajkossy_1996_impedance_209_f8a_a,aqueous,HClO4; water; NaBr,"BCV, SHA"
pajkossy_1996_impedance_209_f8a_b,aqueous,KClO4; water; NaBr,"BCV, SHA"
pajkossy_1996_impedance_209_f8a_dashed,aqueous,KClO4; water,BCV
pajkossy_2001_double_3063_f2_inset,aqueous,HClO4; water,BCV
pajkossy_2001_double_3063_f5a_solid,aqueous,KClO4; water,BCV
pajkossy_2001_double_3063_f6a_solid,aqueous,NaF; water,BCV
rudnev_2020_structural_501_f2c_solid,ionic liquid,BMPyr-TFSI,BCV
sandbeck_2019_dissolution_2997_f1_solid_blue,aqueous,water; HClO4; Ar,BCV
sandbeck_2019_dissolution_2997_f1_solid_green,aqueous,water; HClO4; Ar,BCV
sandbeck_2019_dissolution_2997_f1_solid_red,aqueous,water; HClO4; Ar,BCV
sato_2006_effect_725_f4a_red,aqueous,H2O; H2SO4,BCV
sato_2006_effect_725_f4b_red,aqueous,H2O; H2SO4,BCV
sato_2006_effect_725_f4c_red,aqueous,H2O; H2SO4,BCV
sato_2006_effect_725_f4d_red,aqueous,H2O; H2SO4,BCV
schnaidt_2017_combined_4166_f2_solid,aqueous,H2O; H2SO4; N2,BCV
schuett_2021_electrodeposition_20624_fs1_blue,ionic liquid,MPPip-TFSI,BCV
shi_1996_chloride_225_f1_dotted,aqueous,KClO4; water,BCV
shi_1996_chloride_225_f1_solid,aqueous,KClO4; water; KCl,"BCV, SHA"
shi_1996_chloride_225_f1a_dashed,aqueous,KClO4; water,BCV
shi_1996_chloride_225_f1a_solid,aqueous,KClO4; water; KCl,"BCV, SHA"
taguchi_2007_electrochemical_6023_f2a_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2b_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2c_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2d_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2e_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2f_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2g_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2h_solid,aqueous,water; HClO4,BCV
taguchi_2007_electrochemical_6023_f2i_solid,aqueous,water; HClO4,BCV
wallauer_2013_differential_1143_f3d_bottom,ionic liquid,BMPyr-TFSI,BCV
wallauer_2013_differential_1143_f3e_bottom,ionic liquid,EMIm-TFSI,BCV
wandlowski_1996_structural_10277_f1a_dashed,aqueous,NaClO4; water,BCV
wandlowski_1996_structural_10277_f1a_solid,aqueous,NaBr; water,"BCV, SHA"
wang_1996_ordered_6672_f1_solid,aqueous,KI; water,"BCV, SHA"
wang_1996_ordered_6672_f2a_solid,aqueous,KI; water,"BCV, SHA"
wang_1996_ordered_6672_f2b_solid,aqueous,CsI; water,"BCV, SHA"
wang_1997_lateral_1_f1a_solid,aqueous,KBr; water; KClO4,"BCV, SHA"
wen_2015_potential-dependent_6062_f1_black,ionic liquid,BMPyr-TFSI,BCV
wen_2015_potential-dependent_6062_f1_blueinset,ionic liquid,BMPyr-TFSI,BCV
wen_2015_potential-dependent_6062_fs1_black,ionic liquid,BMPyr-TFSI,BCV
zei_1991_structure_295_f3a_solid,aqueous,NaCl; water,"BCV, SHA"
zei_1991_structure_295_f3b_solid,aqueous,NaBr; water,"BCV, SHA"
