E / V,j / uA cm-2
0.4601,0.7703
0.4604,0.77
0.4607,0.7701
0.461,0.7709
0.4613,0.7725
0.4616,0.7744
0.4619,0.7769
0.4622,0.7795
0.4625,0.7822
0.4628,0.7849
0.4631,0.788
0.4634,0.7911
0.4637,0.7943
0.464,0.7974
0.4643,0.8004
0.4646,0.8031
0.4649,0.8055
0.4652,0.8073
0.4655,0.8086
0.4658,0.8096
0.4661,0.8108
0.4664,0.8122
0.4667,0.8142
0.467,0.8163
0.4673,0.8186
0.4676,0.8215
0.4679,0.8245
0.4682,0.8278
0.4685,0.8315
0.4688,0.8355
0.4691,0.8395
0.4694,0.8437
0.4697,0.8478
0.47,0.8514
0.4703,0.8544
0.4706,0.8565
0.4709,0.8575
0.4712,0.8573
0.4715,0.856
0.4718,0.8538
0.4721,0.8511
0.4724,0.8483
0.4727,0.8457
0.473,0.843
0.4733,0.8404
0.4736,0.8378
0.4739,0.8356
0.4742,0.8339
0.4745,0.8326
0.4748,0.832
0.4751,0.8318
0.4754,0.8319
0.4757,0.8322
0.476,0.8325
0.4763,0.832
0.4766,0.8308
0.4769,0.8282
0.4772,0.8241
0.4775,0.8184
0.4778,0.8113
0.4781,0.8032
0.4784,0.7945
0.4787,0.7853
0.479,0.7757
0.4793,0.7658
0.4796,0.7557
0.4799,0.7454
0.4802,0.7351
0.4805,0.7252
0.4808,0.7163
0.4811,0.7088
0.4814,0.7031
0.4817,0.6994
0.482,0.6979
0.4823,0.6987
0.4826,0.7012
0.4829,0.7052
0.4832,0.7101
0.4835,0.7154
0.4838,0.7215
0.4841,0.7275
0.4844,0.734
0.4847,0.7404
0.485,0.7464
0.4853,0.7508
0.4856,0.7535
0.4859,0.7534
0.4862,0.7503
0.4865,0.7436
0.4868,0.7341
0.4871,0.7228
0.4874,0.7098
