E / V,j / uA cm-2
0.5553,10.1617
0.5556,9.9133
0.5559,10.0753
0.5562,9.8054
0.5565,9.6866
0.5568,9.8054
0.5571,9.4598
0.5574,9.4706
0.5577,9.4922
0.558,9.1574
0.5583,9.2762
0.5586,9.1682
0.5589,8.9199
0.5592,9.0711
0.5595,8.8659
0.5598,8.7147
0.5601,8.8551
0.5604,8.5743
0.5607,8.5419
0.561,8.6175
0.5613,8.3259
0.5616,8.4015
0.5619,8.3583
0.5622,8.1099
0.5625,8.2503
0.5628,8.1099
0.5631,7.9372
0.5634,8.0884
0.5637,7.8508
0.564,7.7968
0.5643,7.8939
0.5646,7.624
0.5649,7.6672
0.5652,7.678
0.5655,7.4188
0.5658,7.5484
0.5661,7.462
0.5664,7.2785
0.5667,7.4296
0.567,7.246
0.5673,7.1488
0.5676,7.2676
0.5679,7.0409
0.5682,7.0517
0.5685,7.0949
0.5688,6.8465
0.5691,6.9545
0.5694,6.9113
0.5697,6.7169
0.57,6.8573
0.5703,6.7169
0.5706,6.6089
0.5709,6.7385
0.5712,6.5441
0.5715,6.5117
0.5718,6.5981
0.5721,6.3713
0.5724,6.4361
0.5727,6.4469
0.573,6.2525
0.5733,6.3713
0.5736,6.2849
0.5739,6.1446
0.5742,6.2741
0.5745,6.1122
0.5748,6.0473
0.5751,6.1553
0.5754,5.9502
0.5757,5.9934
0.576,6.0366
0.5763,5.8422
0.5766,5.9394
0.5769,5.907
0.5772,5.745
0.5775,5.8638
0.5778,5.745
0.5781,5.6586
0.5784,5.7774
0.5787,5.6154
0.579,5.6154
0.5793,5.6802
0.5796,5.4966
0.5799,5.5614
0.5802,5.5722
0.5805,5.4102
0.5808,5.5074
0.5811,5.4318
0.5814,5.3238
0.5817,5.4534
0.582,5.3238
0.5823,5.2914
0.5826,5.3778
0.5829,5.2051
0.5832,5.2482
0.5835,5.2806
0.5838,5.1186
0.5841,5.2051
0.5844,5.1726
0.5847,5.0539
0.585,5.1619
0.5853,5.0646
0.5856,4.9999
0.5859,5.0971
0.5862,4.9567
0.5865,4.9567
0.5868,5.0215
0.5871,4.8703
0.5874,4.9351
0.5877,4.9351
0.588,4.7947
0.5883,4.9027
0.5886,4.8271
0.5889,4.7407
0.5892,4.8595
0.5895,4.7299
0.5898,4.7083
0.5901,4.7947
0.5904,4.6435
0.5907,4.6975
0.591,4.7191
0.5913,4.5787
0.5916,4.6759
0.5919,4.6327
0.5922,4.5355
0.5925,4.6327
0.5928,4.5355
0.5931,4.4923
0.5934,4.5895
0.5937,4.4599
0.594,4.4815
0.5943,4.5355
0.5946,4.3843
0.5949,4.4599
0.5952,4.4599
0.5955,4.3412
0.5958,4.4491
0.5961,4.3843
0.5965,4.3195
0.5967,4.4167
0.597,4.2979
0.5973,4.2872
0.5976,4.3627
0.5979,4.2224
0.5982,4.2764
0.5985,4.2979
0.5988,4.1792
0.5991,4.2655
0.5994,4.2332
0.5997,4.1467
0.6,4.2547
0.6003,4.1576
0.6006,4.1252
0.6009,4.2116
0.6012,4.0928
0.6015,4.1144
0.6018,4.1684
0.6021,4.0388
0.6024,4.1036
0.6027,4.1036
0.603,4.0064
0.6033,4.1036
0.6036,4.0388
0.6039,3.9848
0.6042,4.082
0.6045,3.9848
0.6048,3.974
0.6051,4.0388
0.6054,3.92
0.6057,3.9632
0.606,3.9848
0.6063,3.8768
0.6066,3.9632
0.6069,3.9416
0.6072,3.866
0.6075,3.9524
0.6078,3.8768
0.6081,3.8444
0.6084,3.9308
0.6087,3.8228
0.609,3.8444
0.6093,3.8876
0.6096,3.7688
0.6099,3.8444
0.6102,3.8552
0.6105,3.758
0.6108,3.8552
0.6111,3.7904
0.6114,3.7472
0.6117,3.8336
0.612,3.7364
0.6123,3.7364
0.6126,3.8012
0.6129,3.6932
0.6132,3.7364
0.6135,3.758
0.6138,3.6608
0.6141,3.7472
0.6144,3.7148
0.6147,3.65
0.615,3.7364
0.6153,3.6716
0.6156,3.6392
0.6159,3.7256
0.6162,3.6176
0.6165,3.65
0.6168,3.6824
0.6171,3.5852
0.6174,3.65
0.6177,3.65
0.618,3.5636
0.6183,3.65
0.6186,3.6068
0.6189,3.5636
0.6192,3.65
0.6195,3.5528
0.6198,3.5636
0.6201,3.6176
0.6204,3.5204
0.6207,3.5744
0.621,3.5852
0.6213,3.4988
0.6216,3.5744
0.6219,3.5528
0.6222,3.488
0.6225,3.5744
0.6228,3.4988
0.6231,3.488
0.6234,3.5636
0.6237,3.4664
0.624,3.4988
0.6243,3.5312
0.6246,3.434
0.6249,3.5096
0.6252,3.5096
0.6255,3.4232
0.6258,3.5096
0.6261,3.4556
0.6264,3.4232
0.6267,3.5096
0.627,3.4232
0.6273,3.4232
0.6276,3.488
0.628,3.3908
0.6283,3.4448
0.6285,3.4664
0.6288,3.38
0.6291,3.4556
0.6294,3.4232
0.6298,3.3692
0.63,3.4556
0.6303,3.3908
0.6306,3.38
0.6309,3.4448
0.6312,3.3584
0.6315,3.3908
0.6318,3.4232
0.6321,3.3368
0.6324,3.4016
0.6327,3.4016
0.633,3.326
0.6333,3.4124
0.6336,3.3584
0.6339,3.3368
0.6342,3.4124
0.6345,3.3368
0.6348,3.3368
0.6351,3.3908
0.6354,3.3045
0.6357,3.3584
0.636,3.3692
0.6363,3.2829
0.6366,3.3692
0.637,3.3476
0.6373,3.3045
0.6375,3.38
0.6378,3.3153
0.6381,3.3045
0.6384,3.3692
0.6387,3.2829
0.639,3.3153
0.6393,3.3584
0.6396,3.2721
0.6399,3.3368
0.6402,3.3368
0.6405,3.2613
0.6408,3.3476
0.6411,3.2937
0.6414,3.2721
0.6417,3.3476
0.642,3.2721
0.6423,3.2829
0.6426,3.3368
0.6429,3.2505
0.6432,3.3045
0.6435,3.3153
0.6438,3.2397
0.6441,3.3153
0.6444,3.2937
0.6447,3.2397
0.645,3.326
0.6453,3.2613
0.6456,3.2505
0.6459,3.326
0.6462,3.2397
0.6465,3.2721
0.6468,3.3153
0.6471,3.2289
0.6474,3.2937
0.6477,3.2829
0.648,3.2289
0.6483,3.3045
0.6486,3.2613
0.6489,3.2397
0.6493,3.3153
0.6495,3.2397
0.6498,3.2505
0.6501,3.3045
0.6504,3.2181
0.6507,3.2721
0.651,3.2937
0.6514,3.2181
0.6516,3.2937
0.6519,3.2721
0.6522,3.2289
0.6525,3.3045
0.6528,3.2397
0.6531,3.2397
0.6534,3.3045
0.6537,3.2289
0.654,3.2505
0.6543,3.2829
0.6546,3.2073
0.6549,3.2721
0.6552,3.2721
0.6555,3.2181
0.6558,3.2937
0.6561,3.2505
0.6565,3.2289
0.6568,3.3045
0.657,3.2397
0.6573,3.2397
0.6576,3.2937
0.6579,3.2181
0.6583,3.2613
0.6586,3.2829
0.6589,3.2181
0.6591,3.2937
0.6594,3.2721
0.6598,3.2289
0.6601,3.3045
0.6603,3.2505
0.6607,3.2397
0.6609,3.3045
0.6612,3.2289
0.6615,3.2613
0.6618,3.2937
0.6621,3.2289
0.6624,3.2937
0.6627,3.2937
0.663,3.2289
0.6634,3.3045
0.6636,3.2613
0.6639,3.2397
0.6642,3.3153
0.6645,3.2397
0.6648,3.2613
0.6651,3.3153
0.6654,3.2397
0.6658,3.2937
0.666,3.3045
0.6663,3.2397
0.6666,3.3153
0.667,3.2937
0.6673,3.2505
0.6676,3.326
0.6678,3.2721
0.6681,3.2613
0.6684,3.3368
0.6688,3.2613
0.669,3.2937
0.6693,3.326
0.6696,3.2505
0.6699,3.326
0.6702,3.326
0.6706,3.2613
0.6708,3.3476
0.6711,3.3045
0.6714,3.2721
0.6717,3.3476
0.672,3.2829
0.6723,3.3045
0.6726,3.3476
0.6729,3.2721
0.6732,3.326
0.6735,3.3476
0.6738,3.2829
0.6741,3.3584
0.6744,3.3368
0.6748,3.3045
0.675,3.38
0.6753,3.3153
0.6756,3.3153
0.6759,3.38
0.6763,3.3045
0.6765,3.3476
0.6768,3.38
0.6771,3.3153
0.6774,3.38
0.6778,3.3692
0.678,3.326
0.6783,3.4016
0.6786,3.3476
0.6789,3.3368
0.6793,3.4124
0.6795,3.3476
0.6798,3.3584
0.6801,3.4232
0.6804,3.3476
0.6807,3.4016
0.6811,3.4124
0.6814,3.3476
0.6816,3.4232
0.6819,3.4016
0.6822,3.3584
0.6825,3.4448
0.6829,3.3908
0.6831,3.3908
0.6834,3.4556
0.6838,3.38
0.684,3.4232
0.6843,3.4556
0.6846,3.38
0.6849,3.4556
0.6852,3.4556
0.6856,3.4016
0.6858,3.488
0.6861,3.434
0.6865,3.4232
0.6868,3.4988
0.6871,3.4232
0.6873,3.4448
0.6876,3.5096
0.6879,3.4232
0.6883,3.488
0.6886,3.5096
0.6889,3.434
0.6891,3.5204
0.6894,3.4988
0.6898,3.4556
0.6901,3.542
0.6904,3.488
0.6906,3.488
0.6909,3.5528
0.6913,3.4772
0.6916,3.5204
0.6919,3.5528
0.6921,3.488
0.6924,3.5636
0.6927,3.5636
0.693,3.4988
0.6933,3.5852
0.6937,3.542
0.694,3.5204
0.6943,3.6068
0.6945,3.542
0.6948,3.5636
0.6951,3.6176
0.6955,3.542
0.6958,3.6068
0.696,3.6176
0.6964,3.5528
